ITEM1;ITEM2;ITEM3;ITEM4;ITEM5;ITEM6;ITEM7;ITEM8;ITEM9;ITEM10;ITEM11
Pan Molde;Jamon;Leche;Dulce de leche;Pan;;;;;;
Azucar;Leche;Dulce de leche;Te en bolsa;Mantequilla;Pan;;;;;
Te en bolsa;Pan Molde;;;;;;;;;
Jamon;Leche;Dulce de leche;Mermelada;;;;;;;
Cafe Instantaneo;Jamon;Te en bolsa;Dulce de leche;Azucar;Pan Molde;;;;;
Mantequilla;Azucar;;;;;;;;;
Te en bolsa;Cafe Instantaneo;Leche;Mermelada;Azucar;Pan Molde;Mantequilla;;;;
Jamon;Leche;;;;;;;;;
Queso;Dulce de leche;Azucar;Mermelada;Jamon;Yogur;Te en bolsa;;;;
Pan Molde;Cafe Instantaneo;Jamon;Mermelada;Leche;;;;;;
Te en bolsa;Leche;Cafe Instantaneo;Yogur;Mermelada;Queso;;;;;
Dulce de leche;Queso;Jamon;Mermelada;Azucar;Pan;Mantequilla;Cafe Instantaneo;;;
Jamon;Azucar;;;;;;;;;
Jamon;Leche;Azucar;Yogur;Queso;;;;;;
Yogur;Mermelada;Cafe Instantaneo;Pan;Dulce de leche;Queso;Pan Molde;;;;
Pan;Te en bolsa;Leche;Mermelada;Mantequilla;Queso;Azucar;Yogur;Dulce de leche;;
Pan Molde;Yogur;Azucar;Queso;Mermelada;Cafe Instantaneo;Jamon;Leche;;;
Cafe Instantaneo;Azucar;Yogur;Dulce de leche;Queso;Te en bolsa;Pan;;;;
Te en bolsa;Pan Molde;Dulce de leche;Leche;Jamon;;;;;;
Pan;Te en bolsa;Cafe Instantaneo;;;;;;;;
Azucar;Queso;Cafe Instantaneo;Te en bolsa;Pan;Yogur;Leche;Mermelada;;;
Cafe Instantaneo;Yogur;Dulce de leche;Te en bolsa;Pan Molde;Pan;Leche;;;;
Pan;Pan Molde;Te en bolsa;;;;;;;;
Jamon;Mermelada;Dulce de leche;Cafe Instantaneo;Te en bolsa;Mantequilla;Pan;Yogur;Pan Molde;;
Azucar;Dulce de leche;Yogur;Queso;Mermelada;Mantequilla;;;;;
Leche;Mermelada;Dulce de leche;Mantequilla;Azucar;;;;;;
Mermelada;Mantequilla;Leche;Cafe Instantaneo;;;;;;;
Pan;Queso;Dulce de leche;Leche;Cafe Instantaneo;Mermelada;;;;;
Cafe Instantaneo;Dulce de leche;Leche;Mermelada;Pan;;;;;;
Mantequilla;Queso;Dulce de leche;Mermelada;Azucar;Cafe Instantaneo;;;;;
Dulce de leche;Mantequilla;Azucar;Te en bolsa;Yogur;Pan;Mermelada;;;;
Mermelada;Te en bolsa;Queso;Azucar;Cafe Instantaneo;Dulce de leche;Jamon;;;;
Dulce de leche;Yogur;Leche;;;;;;;;
Cafe Instantaneo;Leche;Te en bolsa;Mermelada;Azucar;Queso;Yogur;Dulce de leche;;;
Leche;Te en bolsa;Azucar;Queso;Pan;Mermelada;Mantequilla;;;;
Yogur;Mantequilla;Leche;;;;;;;;
Yogur;Mermelada;Cafe Instantaneo;Queso;Azucar;Leche;Mantequilla;;;;
Mermelada;Azucar;Pan;;;;;;;;
Azucar;Mantequilla;Leche;;;;;;;;
Pan Molde;Pan;Cafe Instantaneo;Yogur;Azucar;Dulce de leche;;;;;
Leche;Azucar;Pan;Queso;Dulce de leche;Mermelada;;;;;
Te en bolsa;Dulce de leche;Pan;Pan Molde;Mermelada;Leche;;;;;
Yogur;Te en bolsa;Queso;Mantequilla;Jamon;Dulce de leche;Mermelada;Pan Molde;;;
Te en bolsa;Azucar;Queso;Mantequilla;Cafe Instantaneo;Pan;Jamon;;;;
Mermelada;Cafe Instantaneo;Mantequilla;Queso;Dulce de leche;Azucar;;;;;
Mermelada;Cafe Instantaneo;Leche;Azucar;Yogur;Queso;Pan;Dulce de leche;;;
Mantequilla;Pan Molde;Cafe Instantaneo;Yogur;;;;;;;
Cafe Instantaneo;Jamon;Queso;Mermelada;Pan;Pan Molde;;;;;
Dulce de leche;Leche;;;;;;;;;
Dulce de leche;Azucar;Queso;Pan;Mermelada;Te en bolsa;;;;;
Jamon;Azucar;Mermelada;Leche;Yogur;Pan Molde;Te en bolsa;;;;
Pan;Jamon;Pan Molde;;;;;;;;
Azucar;Mantequilla;Jamon;Pan Molde;;;;;;;
Yogur;Te en bolsa;Pan;Mantequilla;Mermelada;;;;;;
Leche;Cafe Instantaneo;Pan;Mermelada;Jamon;Pan Molde;;;;;
Jamon;Te en bolsa;Dulce de leche;Leche;Mantequilla;;;;;;
Queso;Te en bolsa;;;;;;;;;
Dulce de leche;Leche;Pan;Yogur;Te en bolsa;Cafe Instantaneo;Pan Molde;Mermelada;Mantequilla;Azucar;
Azucar;Pan;Pan Molde;Dulce de leche;Mermelada;Cafe Instantaneo;Jamon;Yogur;;;
Yogur;Queso;Mermelada;Te en bolsa;Azucar;Cafe Instantaneo;Leche;;;;
Dulce de leche;Mermelada;Te en bolsa;Queso;;;;;;;
Pan;Mermelada;Azucar;Yogur;Te en bolsa;;;;;;
Leche;Jamon;Cafe Instantaneo;Pan;Azucar;Mantequilla;Queso;Pan Molde;Mermelada;;
Mantequilla;Leche;;;;;;;;;
Dulce de leche;Queso;Yogur;Pan;Azucar;Leche;Mantequilla;;;;
Dulce de leche;Azucar;Jamon;Mermelada;Yogur;Leche;Pan;Te en bolsa;;;
Leche;Queso;Jamon;Yogur;Cafe Instantaneo;Mermelada;Te en bolsa;;;;
Mermelada;Jamon;Cafe Instantaneo;Queso;Pan;Mantequilla;Te en bolsa;;;;
Pan Molde;Azucar;;;;;;;;;
Cafe Instantaneo;Leche;Jamon;Pan;Yogur;Pan Molde;Mermelada;Te en bolsa;;;
Mermelada;Jamon;Azucar;;;;;;;;
Queso;Mantequilla;Cafe Instantaneo;Leche;Azucar;;;;;;
Pan;Dulce de leche;Yogur;;;;;;;;
Mantequilla;Mermelada;Jamon;Dulce de leche;Queso;;;;;;
Queso;Mermelada;Yogur;;;;;;;;
Te en bolsa;Dulce de leche;Mermelada;;;;;;;;
Mantequilla;Pan Molde;Queso;Dulce de leche;Mermelada;Leche;;;;;
Pan;Yogur;Dulce de leche;Pan Molde;Queso;Mantequilla;;;;;
Pan Molde;Mantequilla;Azucar;Yogur;Cafe Instantaneo;Pan;Jamon;Leche;;;
Pan;Dulce de leche;Te en bolsa;;;;;;;;
Azucar;Pan;;;;;;;;;
Mantequilla;Azucar;Leche;Queso;Jamon;Pan;;;;;
Te en bolsa;Leche;Cafe Instantaneo;Jamon;;;;;;;
Te en bolsa;Mermelada;Yogur;Queso;Mantequilla;;;;;;
Dulce de leche;Azucar;Cafe Instantaneo;Jamon;;;;;;;
Jamon;Pan Molde;Te en bolsa;Pan;Dulce de leche;Queso;Mantequilla;;;;
Pan;Pan Molde;;;;;;;;;
Yogur;Te en bolsa;Azucar;Leche;Cafe Instantaneo;Pan Molde;Dulce de leche;Mantequilla;Queso;;
Yogur;Queso;;;;;;;;;
Leche;Pan;Queso;Jamon;Cafe Instantaneo;Mermelada;;;;;
Pan Molde;Azucar;;;;;;;;;
Dulce de leche;Pan;Azucar;Pan Molde;Cafe Instantaneo;Jamon;Queso;Mantequilla;Yogur;;
Queso;Cafe Instantaneo;Pan;Yogur;Mantequilla;Pan Molde;;;;;
Yogur;Mermelada;Leche;Jamon;Pan Molde;Mantequilla;Queso;Cafe Instantaneo;Azucar;Pan;
Yogur;Pan Molde;Leche;Queso;Dulce de leche;Te en bolsa;Jamon;;;;
Leche;Mantequilla;Azucar;;;;;;;;
Cafe Instantaneo;Mantequilla;Yogur;Mermelada;Azucar;Pan;Queso;;;;
Cafe Instantaneo;Queso;Jamon;;;;;;;;
Azucar;Queso;;;;;;;;;
Mantequilla;Cafe Instantaneo;Mermelada;Yogur;Pan Molde;;;;;;
Cafe Instantaneo;Pan;Leche;Jamon;Mantequilla;Dulce de leche;;;;;
Azucar;Mermelada;Pan;Pan Molde;;;;;;;
Pan Molde;Azucar;Pan;Cafe Instantaneo;Queso;Jamon;Leche;Yogur;;;
Cafe Instantaneo;Yogur;Jamon;Queso;;;;;;;
Pan;Azucar;Pan Molde;;;;;;;;
Azucar;Dulce de leche;Cafe Instantaneo;;;;;;;;
Queso;Cafe Instantaneo;;;;;;;;;
Azucar;Leche;Pan;Te en bolsa;Jamon;Queso;;;;;
Mantequilla;Mermelada;Cafe Instantaneo;Azucar;Dulce de leche;;;;;;
Leche;Yogur;Te en bolsa;Mermelada;Azucar;Pan Molde;Queso;;;;
Queso;Dulce de leche;Mantequilla;Mermelada;Pan Molde;;;;;;
Jamon;Mantequilla;Leche;Queso;Cafe Instantaneo;Mermelada;;;;;
Dulce de leche;Mantequilla;Cafe Instantaneo;Pan Molde;Queso;Yogur;Azucar;;;;
Azucar;Jamon;Yogur;;;;;;;;
Azucar;Jamon;Mantequilla;;;;;;;;
Te en bolsa;Pan;Jamon;Dulce de leche;Pan Molde;;;;;;
Pan;Queso;Jamon;;;;;;;;
Pan;Queso;Azucar;Pan Molde;Mermelada;;;;;;
Azucar;Pan;Jamon;Mantequilla;Pan Molde;Mermelada;;;;;
Mermelada;Leche;Mantequilla;Dulce de leche;Yogur;Jamon;;;;;
Jamon;Queso;Te en bolsa;Leche;;;;;;;
Leche;Dulce de leche;Mantequilla;Queso;;;;;;;
Queso;Dulce de leche;;;;;;;;;
Te en bolsa;Jamon;Mantequilla;Cafe Instantaneo;;;;;;;
Azucar;Dulce de leche;Pan Molde;Mantequilla;Jamon;Mermelada;;;;;
Te en bolsa;Leche;;;;;;;;;
Azucar;Pan;Queso;Mermelada;Mantequilla;Te en bolsa;Jamon;Yogur;;;
Te en bolsa;Mantequilla;;;;;;;;;
Pan;Azucar;Yogur;Cafe Instantaneo;Mantequilla;Dulce de leche;Pan Molde;Jamon;;;
Azucar;Yogur;Mermelada;Te en bolsa;Pan Molde;Jamon;Dulce de leche;Pan;Leche;Cafe Instantaneo;
Queso;Dulce de leche;;;;;;;;;
Leche;Cafe Instantaneo;Dulce de leche;;;;;;;;
Azucar;Mantequilla;Mermelada;Cafe Instantaneo;Pan;Jamon;Pan Molde;;;;
Queso;Leche;Jamon;Yogur;Pan Molde;;;;;;
Dulce de leche;Pan Molde;Jamon;Leche;;;;;;;
Te en bolsa;Pan;Cafe Instantaneo;Pan Molde;Yogur;;;;;;
Queso;Leche;Pan Molde;Jamon;Dulce de leche;Mermelada;Mantequilla;Cafe Instantaneo;Pan;;
Pan;Queso;Mermelada;Yogur;Jamon;Pan Molde;Azucar;;;;
Leche;Pan Molde;Mermelada;Dulce de leche;Yogur;Cafe Instantaneo;Queso;;;;
Mantequilla;Pan Molde;Leche;Queso;Dulce de leche;Mermelada;Jamon;;;;
Dulce de leche;Cafe Instantaneo;;;;;;;;;
Mantequilla;Yogur;Te en bolsa;;;;;;;;
Pan;Cafe Instantaneo;Mermelada;Yogur;Jamon;Mantequilla;Te en bolsa;Leche;;;
Pan Molde;Cafe Instantaneo;;;;;;;;;
Te en bolsa;Pan Molde;Cafe Instantaneo;Pan;Jamon;Yogur;Dulce de leche;;;;
Mermelada;Pan Molde;Mantequilla;Azucar;Te en bolsa;Yogur;Pan;;;;
Azucar;Cafe Instantaneo;Mantequilla;Pan;Mermelada;Yogur;Pan Molde;Leche;Jamon;;
Pan Molde;Jamon;Pan;Cafe Instantaneo;Yogur;;;;;;
Cafe Instantaneo;Leche;Jamon;Queso;Azucar;Pan Molde;;;;;
Cafe Instantaneo;Queso;Te en bolsa;Jamon;Pan;Dulce de leche;;;;;
Te en bolsa;Azucar;Pan;Dulce de leche;;;;;;;
Mermelada;Jamon;Queso;;;;;;;;
Jamon;Queso;Pan;Azucar;Dulce de leche;Mantequilla;Cafe Instantaneo;Yogur;Mermelada;;
Leche;Yogur;Azucar;Mermelada;Pan Molde;;;;;;
Pan Molde;Jamon;Pan;Yogur;Queso;;;;;;
Te en bolsa;Queso;Pan Molde;;;;;;;;
Pan Molde;Queso;;;;;;;;;
Mermelada;Cafe Instantaneo;Mantequilla;Queso;Te en bolsa;Leche;;;;;
Yogur;Dulce de leche;Azucar;Pan;Cafe Instantaneo;Te en bolsa;Jamon;;;;
Cafe Instantaneo;Azucar;;;;;;;;;
Pan Molde;Te en bolsa;Queso;Pan;Mermelada;Dulce de leche;;;;;
Mantequilla;Azucar;Pan;Mermelada;Leche;Te en bolsa;Yogur;;;;
Pan Molde;Cafe Instantaneo;Azucar;Yogur;Queso;Mantequilla;;;;;
Pan;Leche;Dulce de leche;Queso;Azucar;Jamon;;;;;
Cafe Instantaneo;Pan;Jamon;Queso;;;;;;;
Jamon;Yogur;Mermelada;Cafe Instantaneo;Azucar;Pan Molde;Mantequilla;;;;
Queso;Azucar;Te en bolsa;Yogur;Pan Molde;Mermelada;;;;;
Cafe Instantaneo;Dulce de leche;Yogur;Pan;Pan Molde;Azucar;Jamon;;;;
Cafe Instantaneo;Pan Molde;;;;;;;;;
Yogur;Pan Molde;Cafe Instantaneo;;;;;;;;
Leche;Queso;;;;;;;;;
Yogur;Mantequilla;Cafe Instantaneo;Te en bolsa;Leche;Pan;Queso;Dulce de leche;Jamon;;
Pan;Queso;Te en bolsa;Mermelada;Pan Molde;Leche;Cafe Instantaneo;;;;
Mermelada;Azucar;Queso;Dulce de leche;Pan Molde;Pan;Cafe Instantaneo;Jamon;;;
Mantequilla;Pan;Azucar;;;;;;;;
Te en bolsa;Leche;Queso;Pan;Mantequilla;Yogur;Dulce de leche;Cafe Instantaneo;;;
Mermelada;Pan;;;;;;;;;
Yogur;Jamon;Queso;Mantequilla;Dulce de leche;Pan;;;;;
Pan Molde;Mermelada;Azucar;Jamon;Mantequilla;Queso;Pan;;;;
Te en bolsa;Jamon;Leche;Azucar;;;;;;;
Te en bolsa;Pan Molde;Cafe Instantaneo;Mermelada;Mantequilla;Jamon;;;;;
Cafe Instantaneo;Queso;Mantequilla;Leche;;;;;;;
Leche;Pan;Dulce de leche;Jamon;Azucar;Mantequilla;;;;;
Leche;Yogur;Mantequilla;Dulce de leche;Cafe Instantaneo;;;;;;
Jamon;Queso;Pan Molde;;;;;;;;
Mermelada;Yogur;Pan Molde;Mantequilla;Cafe Instantaneo;Dulce de leche;Leche;Pan;;;
Mantequilla;Te en bolsa;;;;;;;;;
Pan;Mantequilla;Leche;Cafe Instantaneo;Azucar;Yogur;;;;;
Mermelada;Te en bolsa;Azucar;Yogur;Pan Molde;;;;;;
Dulce de leche;Leche;Pan;Mermelada;Jamon;Queso;Mantequilla;Te en bolsa;;;
Yogur;Te en bolsa;;;;;;;;;
Jamon;Leche;Yogur;Cafe Instantaneo;Queso;Pan Molde;;;;;
Mantequilla;Mermelada;Queso;Dulce de leche;Cafe Instantaneo;Jamon;Te en bolsa;;;;
Jamon;Pan;Azucar;Mermelada;Cafe Instantaneo;Dulce de leche;Mantequilla;Queso;;;
Te en bolsa;Mermelada;;;;;;;;;
Dulce de leche;Azucar;Cafe Instantaneo;Yogur;Jamon;Queso;;;;;
Jamon;Yogur;Pan Molde;Mantequilla;Cafe Instantaneo;Mermelada;;;;;
Yogur;Mermelada;Dulce de leche;Queso;;;;;;;
Mantequilla;Leche;;;;;;;;;
Leche;Mantequilla;Pan;;;;;;;;
Dulce de leche;Leche;Mermelada;Jamon;Te en bolsa;;;;;;
Cafe Instantaneo;Pan Molde;Mantequilla;Pan;Te en bolsa;Jamon;;;;;
Cafe Instantaneo;Jamon;Azucar;Mantequilla;Pan;Te en bolsa;Queso;;;;
Mermelada;Dulce de leche;Pan Molde;Mantequilla;Azucar;Yogur;;;;;
Te en bolsa;Jamon;Azucar;Leche;Dulce de leche;Mantequilla;Pan Molde;;;;
Queso;Pan;Cafe Instantaneo;Mermelada;Dulce de leche;;;;;;
Jamon;Pan;;;;;;;;;
Queso;Mermelada;Cafe Instantaneo;Te en bolsa;Azucar;Leche;Yogur;Jamon;;;
Azucar;Pan Molde;Leche;Yogur;;;;;;;
Yogur;Azucar;Leche;Mantequilla;Queso;;;;;;
Te en bolsa;Azucar;Yogur;Dulce de leche;Mantequilla;;;;;;
Azucar;Te en bolsa;Mermelada;Dulce de leche;Pan Molde;Jamon;Pan;;;;
Azucar;Yogur;Pan Molde;Cafe Instantaneo;Pan;Leche;Mantequilla;;;;
Azucar;Mantequilla;Yogur;Mermelada;Cafe Instantaneo;Pan Molde;Queso;;;;
Pan;Cafe Instantaneo;Azucar;;;;;;;;
Yogur;Jamon;Leche;;;;;;;;
Dulce de leche;Yogur;Azucar;Mantequilla;Cafe Instantaneo;Leche;Pan;Te en bolsa;;;
Azucar;Mantequilla;Te en bolsa;Cafe Instantaneo;Pan;Dulce de leche;Leche;Jamon;Pan Molde;;
Te en bolsa;Pan Molde;;;;;;;;;
Yogur;Dulce de leche;Pan Molde;Leche;Pan;;;;;;
Yogur;Azucar;Dulce de leche;Te en bolsa;Queso;;;;;;
Mermelada;Jamon;Te en bolsa;Azucar;Pan;Queso;Mantequilla;;;;
Te en bolsa;Mermelada;;;;;;;;;
Cafe Instantaneo;Mantequilla;Mermelada;;;;;;;;
Mantequilla;Cafe Instantaneo;Azucar;Pan Molde;Mermelada;;;;;;
Pan Molde;Mermelada;Leche;Cafe Instantaneo;Yogur;Azucar;Dulce de leche;;;;
Jamon;Te en bolsa;;;;;;;;;
Leche;Dulce de leche;Yogur;Pan;Te en bolsa;Pan Molde;;;;;
Pan;Pan Molde;Yogur;Queso;Te en bolsa;Mantequilla;Dulce de leche;;;;
Dulce de leche;Jamon;Cafe Instantaneo;Azucar;Leche;;;;;;
Queso;Dulce de leche;Leche;;;;;;;;
Jamon;Pan;;;;;;;;;
Te en bolsa;Azucar;Queso;Cafe Instantaneo;;;;;;;
Pan;Leche;Queso;Dulce de leche;Yogur;;;;;;
Pan Molde;Pan;Azucar;Te en bolsa;Cafe Instantaneo;Dulce de leche;;;;;
Mermelada;Pan;Yogur;Leche;Cafe Instantaneo;Te en bolsa;;;;;
Queso;Leche;Pan;Te en bolsa;Dulce de leche;;;;;;
Pan Molde;Azucar;Pan;;;;;;;;
Mantequilla;Dulce de leche;Azucar;Te en bolsa;Jamon;Pan;;;;;
Pan;Queso;Leche;Yogur;Mantequilla;;;;;;
Mermelada;Azucar;Dulce de leche;Pan Molde;Yogur;Pan;Jamon;;;;
Pan Molde;Dulce de leche;;;;;;;;;
Azucar;Mantequilla;;;;;;;;;
Pan Molde;Azucar;Dulce de leche;Jamon;Cafe Instantaneo;Leche;Te en bolsa;;;;
Dulce de leche;Yogur;Mermelada;Cafe Instantaneo;;;;;;;
Dulce de leche;Jamon;Queso;Leche;Mermelada;;;;;;
Mantequilla;Jamon;Yogur;Mermelada;Dulce de leche;Queso;Azucar;Leche;Pan Molde;;
Jamon;Pan;Leche;Pan Molde;Mermelada;Azucar;;;;;
Mantequilla;Dulce de leche;;;;;;;;;
Dulce de leche;Jamon;Leche;Queso;Cafe Instantaneo;Pan Molde;Yogur;;;;
Jamon;Pan;Dulce de leche;;;;;;;;
Mantequilla;Dulce de leche;;;;;;;;;
Pan;Pan Molde;Yogur;Dulce de leche;Azucar;Cafe Instantaneo;;;;;
Yogur;Cafe Instantaneo;;;;;;;;;
Cafe Instantaneo;Azucar;;;;;;;;;
Te en bolsa;Pan;Queso;Yogur;Jamon;Mermelada;Mantequilla;;;;
Leche;Mantequilla;;;;;;;;;
Cafe Instantaneo;Te en bolsa;Azucar;Dulce de leche;Pan Molde;Mantequilla;;;;;
Te en bolsa;Dulce de leche;Mantequilla;Yogur;Jamon;Pan;;;;;
Mermelada;Te en bolsa;Pan Molde;Cafe Instantaneo;Jamon;Leche;;;;;
Cafe Instantaneo;Pan;Leche;Queso;Mermelada;Mantequilla;Te en bolsa;;;;
Dulce de leche;Queso;Leche;Jamon;Azucar;;;;;;
Yogur;Queso;Mantequilla;Azucar;Leche;Jamon;Dulce de leche;Pan Molde;;;
Azucar;Cafe Instantaneo;Mantequilla;Jamon;Pan;Leche;Queso;Pan Molde;Yogur;;
Jamon;Mermelada;;;;;;;;;
Mantequilla;Leche;;;;;;;;;
Queso;Yogur;Azucar;;;;;;;;
Pan;Leche;;;;;;;;;
Dulce de leche;Te en bolsa;Mermelada;Pan Molde;Pan;;;;;;
Leche;Queso;Azucar;Mantequilla;Pan;;;;;;
Dulce de leche;Jamon;Pan Molde;Mantequilla;Yogur;Mermelada;Queso;Azucar;;;
Pan Molde;Yogur;Jamon;Dulce de leche;Azucar;Queso;Mermelada;Mantequilla;;;
Queso;Pan Molde;Pan;Jamon;Cafe Instantaneo;Mermelada;;;;;
Leche;Te en bolsa;Mantequilla;Jamon;Queso;;;;;;
Pan Molde;Cafe Instantaneo;Azucar;Queso;Mantequilla;Leche;Mermelada;Yogur;;;
Leche;Yogur;Pan;;;;;;;;
Yogur;Azucar;Mermelada;Mantequilla;;;;;;;
Cafe Instantaneo;Dulce de leche;Mermelada;Jamon;Yogur;Pan;;;;;
Cafe Instantaneo;Leche;Mermelada;Azucar;;;;;;;
Te en bolsa;Azucar;Pan Molde;Dulce de leche;;;;;;;
Dulce de leche;Azucar;Jamon;Leche;Te en bolsa;Yogur;Pan Molde;;;;
Jamon;Yogur;Pan;Dulce de leche;Mantequilla;Te en bolsa;;;;;
Azucar;Dulce de leche;Leche;;;;;;;;
Azucar;Cafe Instantaneo;Pan Molde;Dulce de leche;Pan;Queso;Mermelada;;;;
Mantequilla;Pan Molde;;;;;;;;;
Leche;Mermelada;Pan Molde;Te en bolsa;;;;;;;
Cafe Instantaneo;Dulce de leche;Queso;Jamon;;;;;;;
Pan Molde;Cafe Instantaneo;Jamon;Queso;Yogur;Te en bolsa;;;;;
Azucar;Jamon;Pan Molde;Cafe Instantaneo;Pan;;;;;;
Azucar;Mermelada;Pan;Queso;Mantequilla;Jamon;;;;;
Mermelada;Azucar;Pan Molde;Queso;;;;;;;
Leche;Yogur;Te en bolsa;Mantequilla;Jamon;Pan Molde;Pan;Dulce de leche;Azucar;Mermelada;
Mantequilla;Queso;Cafe Instantaneo;Yogur;;;;;;;
Pan;Cafe Instantaneo;Yogur;Te en bolsa;Jamon;Leche;;;;;
Cafe Instantaneo;Mermelada;Te en bolsa;Leche;Pan;Mantequilla;;;;;
Pan;Mantequilla;;;;;;;;;
Cafe Instantaneo;Mantequilla;Yogur;Leche;Mermelada;;;;;;
Leche;Yogur;Queso;;;;;;;;
Pan;Leche;Dulce de leche;Cafe Instantaneo;Yogur;Jamon;;;;;
Dulce de leche;Mantequilla;Cafe Instantaneo;Pan;Mermelada;Queso;Azucar;;;;
Dulce de leche;Pan Molde;Mantequilla;Queso;Te en bolsa;Azucar;;;;;
Azucar;Dulce de leche;Pan Molde;Yogur;Pan;Jamon;Te en bolsa;;;;
Queso;Cafe Instantaneo;Yogur;Mantequilla;Dulce de leche;Jamon;Te en bolsa;Pan;;;
Queso;Azucar;Pan Molde;Mantequilla;Yogur;Pan;Jamon;Dulce de leche;;;
Cafe Instantaneo;Leche;Pan Molde;Queso;Pan;;;;;;
Jamon;Queso;Leche;Te en bolsa;;;;;;;
Pan Molde;Mantequilla;Cafe Instantaneo;Mermelada;Leche;Queso;;;;;
Mermelada;Te en bolsa;Queso;Dulce de leche;Cafe Instantaneo;;;;;;
Cafe Instantaneo;Yogur;Leche;Jamon;Pan;Mantequilla;;;;;
Jamon;Pan Molde;;;;;;;;;
Dulce de leche;Pan Molde;Mermelada;Cafe Instantaneo;Leche;Azucar;Jamon;Te en bolsa;Mantequilla;Yogur;
Dulce de leche;Pan;Te en bolsa;Queso;;;;;;;
Mantequilla;Azucar;Yogur;;;;;;;;
Mermelada;Queso;Cafe Instantaneo;Pan Molde;Yogur;Leche;Jamon;Mantequilla;;;
Mantequilla;Cafe Instantaneo;Pan Molde;Jamon;Pan;Queso;Te en bolsa;Leche;;;
Leche;Te en bolsa;Jamon;Mantequilla;Cafe Instantaneo;Dulce de leche;;;;;
Dulce de leche;Pan;Queso;Jamon;Te en bolsa;Cafe Instantaneo;Mantequilla;;;;
Mermelada;Pan;Jamon;Leche;Te en bolsa;Queso;Mantequilla;;;;
Mermelada;Pan;Mantequilla;Cafe Instantaneo;Yogur;Te en bolsa;Azucar;;;;
Jamon;Leche;;;;;;;;;
Queso;Te en bolsa;Cafe Instantaneo;Leche;Jamon;;;;;;
Yogur;Pan;Azucar;Te en bolsa;;;;;;;
Jamon;Leche;Te en bolsa;Pan;Mantequilla;Mermelada;Azucar;Yogur;;;
Yogur;Cafe Instantaneo;;;;;;;;;
Mermelada;Te en bolsa;Dulce de leche;Yogur;;;;;;;
Te en bolsa;Dulce de leche;Yogur;Mermelada;Jamon;Leche;Cafe Instantaneo;Pan Molde;Mantequilla;;
Pan Molde;Yogur;Dulce de leche;Mermelada;Queso;Mantequilla;Azucar;Leche;;;
Mermelada;Jamon;Yogur;Mantequilla;Dulce de leche;Pan Molde;Azucar;;;;
Leche;Te en bolsa;Pan;Cafe Instantaneo;;;;;;;
Leche;Queso;Te en bolsa;Dulce de leche;Yogur;Pan Molde;Jamon;Mermelada;;;
Leche;Pan;;;;;;;;;
Mantequilla;Pan Molde;Mermelada;;;;;;;;
Pan;Leche;;;;;;;;;
Te en bolsa;Queso;Yogur;Pan Molde;Dulce de leche;Mantequilla;Jamon;;;;
Yogur;Mermelada;Cafe Instantaneo;Jamon;Pan Molde;Leche;Te en bolsa;Pan;;;
Dulce de leche;Te en bolsa;;;;;;;;;
Te en bolsa;Cafe Instantaneo;Jamon;;;;;;;;
Te en bolsa;Cafe Instantaneo;Queso;Pan;Azucar;Jamon;;;;;
Queso;Jamon;Leche;Yogur;Cafe Instantaneo;;;;;;
Queso;Mermelada;Pan;Jamon;;;;;;;
Cafe Instantaneo;Te en bolsa;Queso;Leche;Jamon;Mermelada;Pan;;;;
Pan Molde;Dulce de leche;;;;;;;;;
Dulce de leche;Te en bolsa;Mantequilla;Jamon;Azucar;Cafe Instantaneo;Yogur;;;;
Queso;Pan;;;;;;;;;
Jamon;Pan Molde;Pan;Queso;Azucar;;;;;;
Pan Molde;Leche;Yogur;Cafe Instantaneo;;;;;;;
Cafe Instantaneo;Jamon;Pan Molde;;;;;;;;
Leche;Mermelada;;;;;;;;;
Cafe Instantaneo;Yogur;Dulce de leche;Pan;Queso;Leche;Pan Molde;;;;
Leche;Jamon;Pan;Cafe Instantaneo;Pan Molde;Dulce de leche;Mermelada;Queso;;;
Cafe Instantaneo;Mermelada;Mantequilla;Leche;;;;;;;
Mantequilla;Pan Molde;Cafe Instantaneo;Yogur;Te en bolsa;;;;;;
Dulce de leche;Yogur;Mantequilla;Cafe Instantaneo;Pan Molde;;;;;;
Mermelada;Te en bolsa;Jamon;Queso;Pan Molde;Pan;Mantequilla;;;;
Jamon;Leche;Te en bolsa;;;;;;;;
Pan Molde;Mermelada;Cafe Instantaneo;;;;;;;;
Azucar;Pan;;;;;;;;;
Yogur;Azucar;Dulce de leche;;;;;;;;
Yogur;Azucar;Mermelada;Pan;Dulce de leche;;;;;;
Mermelada;Pan;Azucar;Jamon;Dulce de leche;Queso;Cafe Instantaneo;;;;
Dulce de leche;Pan;Queso;Yogur;Jamon;Mermelada;;;;;
Mermelada;Jamon;Pan Molde;;;;;;;;
Leche;Pan Molde;Dulce de leche;Mermelada;Jamon;Cafe Instantaneo;Te en bolsa;Queso;;;
Mantequilla;Pan;Mermelada;Dulce de leche;Te en bolsa;Yogur;;;;;
Yogur;Azucar;Te en bolsa;Pan Molde;Pan;;;;;;
Queso;Yogur;;;;;;;;;
Pan Molde;Jamon;Yogur;Te en bolsa;Cafe Instantaneo;Leche;Mermelada;;;;
Mantequilla;Leche;Pan;Cafe Instantaneo;;;;;;;
Dulce de leche;Pan;Cafe Instantaneo;Queso;Mermelada;Pan Molde;;;;;
